State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
NSW,Remote Australia,Riverina,Carrathool,Sub-arterial Road
NSW,Outer Regional Australia,Riverina,Junee,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),National or State Highway
VIC,Inner Regional Australia,Hume,Indigo,Local Road
QLD,Inner Regional Australia,Sunshine Coast,Noosa,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,National or State Highway
VIC,Inner Regional Australia,Ballarat,Loddon,Arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,Local Road
TAS,Inner Regional Australia,Hobart,Hobart,Arterial Road
NSW,Outer Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Goyder,Arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Wongan-Ballidu,Arterial Road
VIC,Outer Regional Australia,North West,Buloke,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Ceduna,Local Road
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,Sub-arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Access road
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,Access road
WA,Inner Regional Australia,Bunbury,Collie,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Cook,Collector Road
WA,Inner Regional Australia,Perth - South East,Armadale,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Access road
VIC,Outer Regional Australia,North West,Swan Hill,Local Road
NSW,Outer Regional Australia,Riverina,Cootamundra-Gundagai,National or State Highway
VIC,Inner Regional Australia,Hume,Indigo,Access road
NSW,Outer Regional Australia,New England and North West,Narrabri,Arterial Road
WA,Inner Regional Australia,Perth - North West,Wanneroo,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Williams,National or State Highway
VIC,Inner Regional Australia,Ballarat,Golden Plains,Sub-arterial Road
WA,Very Remote Australia,Western Australia - Outback (North),East Pilbara,National or State Highway
NSW,Outer Regional Australia,Murray,Greater Hume,Sub-arterial Road
WA,Very Remote Australia,Western Australia - Outback (South),Menzies,Local Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Dandaragan,Local Road
WA,Inner Regional Australia,Bunbury,Busselton,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Plantagenet,Arterial Road
NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road
QLD,Outer Regional Australia,Queensland - Outback,Mareeba,Local Road
WA,Very Remote Australia,Western Australia - Outback (North),Halls Creek,Local Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Northam,National or State Highway
QLD,Outer Regional Australia,Wide Bay,North Burnett,Sub-arterial Road
NSW,Outer Regional Australia,Central West,Weddin,Sub-arterial Road
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Collector Road
WA,Outer Regional Australia,Western Australia - Outback (South),Irwin,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Light,Collector Road
NSW,Very Remote Australia,Far West and Orana,Walgett,Access road
WA,Major Cities of Australia,Perth - South East,Armadale,National or State Highway
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,National or State Highway
NSW,Inner Regional Australia,Capital Region,Eurobodalla,Local Road
QLD,Outer Regional Australia,Cairns,Yarrabah,Local Road
WA,Inner Regional Australia,Perth - North West,Wanneroo,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Pingelly,Arterial Road
WA,Major Cities of Australia,Perth - South East,Belmont,Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,Arterial Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba,Local Road
NSW,Remote Australia,New England and North West,Narrabri,Arterial Road
WA,Remote Australia,Western Australia - Outback (North),Broome,Local Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),Collector Road
QLD,Remote Australia,Queensland - Outback,Cook,Collector Road
NSW,Outer Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Kondinin,Arterial Road
WA,Major Cities of Australia,Perth - South West,Rockingham,Local Road
WA,Very Remote Australia,Western Australia - Outback (South),Cue,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Gawler,Local Road
NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,National or State Highway
NSW,Outer Regional Australia,Murray,Hay,Local Road
NSW,Outer Regional Australia,Riverina,Griffith,Access road
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Access road
QLD,Inner Regional Australia,Wide Bay,Gympie,Access road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Wagin,Arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse,Arterial Road
TAS,Inner Regional Australia,Hobart,Kingborough,Arterial Road
NSW,Inner Regional Australia,Central West,Cabonne,Arterial Road
WA,Very Remote Australia,Western Australia - Outback (South),Meekatharra,Local Road
NSW,Remote Australia,Far West and Orana,Unincorporated NSW,Access road
NSW,Major Cities of Australia,Sydney - Outer South West,Wollondilly,Local Road
WA,Major Cities of Australia,Perth - South East,Kalamunda,Arterial Road
QLD,Remote Australia,Darling Downs - Maranoa,Balonne,Collector Road
WA,Inner Regional Australia,Bunbury,Dardanup,Arterial Road
QLD,Remote Australia,Central Queensland,Banana,National or State Highway
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,National or State Highway
WA,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley,Local Road
VIC,Inner Regional Australia,North West,Northern Grampians,Collector Road
WA,Outer Regional Australia,Bunbury,Manjimup,Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Collector Road
QLD,Remote Australia,Wide Bay,Fraser Coast,Access road
SA,Outer Regional Australia,South Australia - South East,Mid Murray,National or State Highway
QLD,Very Remote Australia,Queensland - Outback,Lockhart River,Collector Road
SA,Remote Australia,South Australia - Outback,Cleve,Arterial Road
QLD,Inner Regional Australia,Gold Coast,Gold Coast,Local Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Quairading,Arterial Road
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Sub-arterial Road
WA,Major Cities of Australia,Perth - North East,Swan,National or State Highway
QLD,Remote Australia,Townsville,Hinchinbrook,Sub-arterial Road
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,National or State Highway
VIC,Remote Australia,Latrobe - Gippsland,East Gippsland,Arterial Road
WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,Arterial Road
WA,Inner Regional Australia,Bunbury,Capel,Local Road
WA,Major Cities of Australia,Perth - Inner,Perth,National or State Highway
NT,Remote Australia,Northern Territory - Outback,Katherine,Sub-arterial Road
WA,Inner Regional Australia,Mandurah,Murray,Arterial Road
WA,Very Remote Australia,Western Australia - Outback (North),Wyndham-East Kimberley,Arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Banyule,Collector Road
WA,Inner Regional Australia,Bunbury,Dardanup,Local Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Randwick,Arterial Road
NSW,Inner Regional Australia,Central West,Bathurst,Access road
WA,Major Cities of Australia,Perth - North East,Mundaring,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,Collector Road
NSW,Remote Australia,Murray,Wentworth,National or State Highway
NSW,Inner Regional Australia,Riverina,Junee,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Local Road
QLD,Very Remote Australia,Queensland - Outback,Mornington,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Wandering,Arterial Road
WA,Remote Australia,Western Australia - Outback (South),Esperance,Arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Collector Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Cuballing,Local Road
WA,Inner Regional Australia,Perth - North West,Wanneroo,Local Road
VIC,Major Cities of Australia,Melbourne - Inner South,Monash,National or State Highway
WA,Major Cities of Australia,Perth - North East,Mundaring,Arterial Road
WA,Major Cities of Australia,Perth - North West,Joondalup,Arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Arterial Road
WA,Outer Regional Australia,Bunbury,Nannup,Arterial Road
NSW,Outer Regional Australia,Far West and Orana,Broken Hill,Local Road
WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Unley,Arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Byron,Access road
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Pedestrian Thoroughfare
WA,Very Remote Australia,Western Australia - Outback (South),Ngaanyatjarraku,Arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Collector Road
SA,Outer Regional Australia,South Australia - South East,Coorong,Local Road
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,National or State Highway
NSW,Outer Regional Australia,Riverina,Junee,Arterial Road
TAS,Outer Regional Australia,West and North West,Circular Head,Local Road
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Sub-arterial Road
QLD,Remote Australia,Queensland - Outback,Mount Isa,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Wudinna,Local Road
WA,Major Cities of Australia,Perth - South East,Armadale,Local Road
QLD,Inner Regional Australia,Brisbane - West,Brisbane,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Darebin,Sub-arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Corrigin,National or State Highway
NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Anangu Pitjantjatjara Yankunytjatjara,Local Road
VIC,Inner Regional Australia,North West,Northern Grampians,Local Road
NSW,Outer Regional Australia,Riverina,Temora,Arterial Road
SA,Very Remote Australia,South Australia - Outback,Elliston,Arterial Road
WA,Major Cities of Australia,Perth - South West,Fremantle,Local Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Toodyay,Arterial Road
NSW,Outer Regional Australia,Central West,Parkes,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Streaky Bay,Sub-arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Goyder,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road
NSW,Outer Regional Australia,Riverina,Federation,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - South,Holdfast Bay,Collector Road
VIC,Inner Regional Australia,Warrnambool and South West,Southern Grampians,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Victoria Plains,Arterial Road
QLD,Inner Regional Australia,Ipswich,Somerset,Collector Road
NSW,Inner Regional Australia,Central West,Cabonne,Sub-arterial Road
WA,Remote Australia,Western Australia - Outback (South),Northampton,Arterial Road
WA,Major Cities of Australia,Perth - South West,Melville,National or State Highway
NSW,Major Cities of Australia,Capital Region,Yass Valley,Sub-arterial Road
NSW,Remote Australia,Central West,Lachlan,Local Road
WA,Outer Regional Australia,Bunbury,Bridgetown-Greenbushes,National or State Highway
WA,Inner Regional Australia,Bunbury,Harvey,Arterial Road
SA,Remote Australia,South Australia - Outback,Lower Eyre Peninsula,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Longreach,Local Road
VIC,Inner Regional Australia,Bendigo,Mount Alexander,Sub-arterial Road
SA,Remote Australia,South Australia - South East,Kangaroo Island,Access road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Sub-arterial Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway
NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),National or State Highway
VIC,Outer Regional Australia,Warrnambool and South West,Moyne,Arterial Road
NSW,Outer Regional Australia,Riverina,Temora,Local Road
SA,Remote Australia,South Australia - Outback,Kimba,National or State Highway
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,Local Road
VIC,Inner Regional Australia,Shepparton,Moira,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,Local Road
WA,Major Cities of Australia,Perth - South East,Victoria Park,Arterial Road
VIC,Inner Regional Australia,Ballarat,Central Goldfields,National or State Highway
QLD,Major Cities of Australia,Brisbane - East,Brisbane,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Arterial Road
NSW,Major Cities of Australia,Sydney - Outer South West,Wollondilly,National or State Highway
VIC,Inner Regional Australia,Ballarat,Central Goldfields,Local Road
VIC,Inner Regional Australia,Ballarat,Hepburn,Access road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Katanning,Arterial Road
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Local Road
WA,Remote Australia,Western Australia - Wheat Belt,Jerramungup,Arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Collector Road
NSW,Outer Regional Australia,Central West,Warrumbungle,Sub-arterial Road
SA,Remote Australia,South Australia - South East,Southern Mallee,Arterial Road
WA,Remote Australia,Western Australia - Outback (South),Carnamah,Arterial Road
TAS,Outer Regional Australia,South East,Derwent Valley,Local Road
VIC,Inner Regional Australia,Ballarat,Hepburn,Sub-arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Arterial Road
TAS,Outer Regional Australia,South East,Kingborough,Local Road
NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Arterial Road
WA,Very Remote Australia,Western Australia - Outback (North),Ashburton,Arterial Road
NSW,Inner Regional Australia,Central West,Bathurst,Arterial Road
WA,Remote Australia,Western Australia - Outback (North),Karratha,Arterial Road
SA,Very Remote Australia,South Australia - Outback,Ceduna,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,West Arthur,Arterial Road
NT,Remote Australia,Northern Territory - Outback,Alice Springs,Collector Road
SA,Major Cities of Australia,Adelaide - North,Playford,Arterial Road
NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Local Road
WA,Very Remote Australia,Western Australia - Outback (North),Wyndham-East Kimberley,Local Road
WA,Major Cities of Australia,Perth - Inner,Cambridge,Arterial Road
NSW,Inner Regional Australia,Riverina,Cootamundra-Gundagai,National or State Highway
SA,Inner Regional Australia,Adelaide - South,Onkaparinga,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Moorabool,Local Road
SA,Outer Regional Australia,South Australia - South East,Mount Gambier,Collector Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Access road
WA,Major Cities of Australia,Perth - South East,Gosnells,Local Road
VIC,Inner Regional Australia,Hume,Towong,Arterial Road
QLD,Outer Regional Australia,Wide Bay,Bundaberg,Local Road
VIC,Inner Regional Australia,Geelong,Greater Geelong,Arterial Road
VIC,Outer Regional Australia,North West,Horsham,Sub-arterial Road
WA,Inner Regional Australia,Perth - North East,Swan,National or State Highway
QLD,Remote Australia,Central Queensland,Livingstone,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - South West,Camden,Sub-arterial Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Access road
WA,Very Remote Australia,Western Australia - Outback (North),Ashburton,National or State Highway
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Access road
WA,Major Cities of Australia,Perth - South East,South Perth,National or State Highway
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,Access road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Denmark,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Brookton,National or State Highway
QLD,Very Remote Australia,Queensland - Outback,Burke,Sub-arterial Road
NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,Sub-arterial Road
ACT,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,National or State Highway
QLD,Outer Regional Australia,Townsville,Hinchinbrook,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Canada Bay,Local Road
NSW,Major Cities of Australia,Sydney - Inner West,Strathfield,Collector Road
NSW,Very Remote Australia,Far West and Orana,Central Darling,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Pedestrian Thoroughfare
SA,Very Remote Australia,South Australia - Outback,Streaky Bay,National or State Highway
WA,Very Remote Australia,Western Australia - Outback (North),Port Hedland,Local Road
VIC,Major Cities of Australia,Melbourne - Inner,Darebin,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Longreach,Sub-arterial Road
VIC,Inner Regional Australia,Bendigo,Mount Alexander,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse,Local Road
NSW,Outer Regional Australia,Central West,Mid-Western,Local Road
QLD,Very Remote Australia,Queensland - Outback,Northern Peninsula Area,Collector Road
WA,Major Cities of Australia,Perth - Inner,Nedlands,Local Road
NSW,Very Remote Australia,Far West and Orana,Brewarrina,Access road
WA,Major Cities of Australia,Perth - North West,Stirling,Arterial Road
SA,Inner Regional Australia,South Australia - South East,Mid Murray,National or State Highway
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Access road
NT,Remote Australia,Northern Territory - Outback,Coomalie ,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Gingin,Arterial Road
WA,Major Cities of Australia,Perth - Inner,Stirling,Arterial Road
NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),Sub-arterial Road
SA,Remote Australia,South Australia - Outback,Franklin Harbour,Arterial Road
NSW,Inner Regional Australia,Sydney - Northern Beaches,Northern Beaches,Collector Road
SA,Inner Regional Australia,South Australia - South East,Coorong,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Lane Cove,Arterial Road
NT,Very Remote Australia,Northern Territory - Outback,Central Desert,Arterial Road
WA,Inner Regional Australia,Bunbury,Waroona,National or State Highway
NT,Outer Regional Australia,Darwin,Palmerston,Local Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Arterial Road
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Cunderdin,National or State Highway
SA,Major Cities of Australia,Adelaide - South,Marion,Local Road
NSW,Outer Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road
NSW,Inner Regional Australia,Murray,Berrigan,Arterial Road
WA,Major Cities of Australia,Perth - Inner,Perth,Local Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Arterial Road
WA,Remote Australia,Western Australia - Outback (South),Greater Geraldton,National or State Highway
VIC,Outer Regional Australia,North West,Horsham,Collector Road
WA,Remote Australia,Western Australia - Wheat Belt,Lake Grace,Arterial Road
WA,Major Cities of Australia,Perth - North East,Bayswater,Arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,National or State Highway
VIC,Inner Regional Australia,Hume,Alpine,Arterial Road
VIC,Inner Regional Australia,Hume,Murrindindi,Local Road
NSW,Inner Regional Australia,Richmond - Tweed,Byron,Local Road
VIC,Outer Regional Australia,Bendigo,Loddon,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Broomehill-Tambellup,Local Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Collector Road
TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),Arterial Road
WA,Inner Regional Australia,Perth - North East,Mundaring,National or State Highway
WA,Major Cities of Australia,Perth - North East,Mundaring,National or State Highway
NSW,Outer Regional Australia,Central West,Blayney,National or State Highway
SA,Remote Australia,South Australia - Outback,Tumby Bay,Sub-arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Jerramungup,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Tatiara,Sub-arterial Road
WA,Very Remote Australia,Western Australia - Outback (North),Halls Creek,Arterial Road
QLD,Inner Regional Australia,Gold Coast,Scenic Rim,Collector Road
SA,Outer Regional Australia,South Australia - South East,Mount Gambier,Local Road
NSW,Major Cities of Australia,Illawarra,Kiama,Local Road
WA,Major Cities of Australia,Perth - South East,Victoria Park,Local Road
QLD,Remote Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road
NSW,Inner Regional Australia,Central West,Oberon,Arterial Road
NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Collector Road
WA,Major Cities of Australia,Perth - South East,Kalamunda,National or State Highway
VIC,Major Cities of Australia,Melbourne - North East,Mitchell,Collector Road
VIC,Major Cities of Australia,Melbourne - Inner,Yarra,Collector Road
TAS,Outer Regional Australia,Launceston and North East,West Tamar,Arterial Road
WA,Major Cities of Australia,Perth - Inner,Vincent,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Cranbrook,National or State Highway
TAS,Outer Regional Australia,South East,Huon Valley,Local Road
NSW,Major Cities of Australia,Sydney - Inner West,Canada Bay,Arterial Road
NSW,Inner Regional Australia,Central West,Cabonne,National or State Highway
WA,Remote Australia,Western Australia - Wheat Belt,Yilgarn,Arterial Road
QLD,Outer Regional Australia,Central Queensland,Livingstone,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,National or State Highway
TAS,Remote Australia,Launceston and North East,Break O'Day,National or State Highway
QLD,Inner Regional Australia,Ipswich,Ipswich,Local Road
NT,Remote Australia,Northern Territory - Outback,Victoria Daly,National or State Highway
VIC,Outer Regional Australia,North West,Northern Grampians,National or State Highway
QLD,Remote Australia,Cairns,Cassowary Coast,Local Road
NSW,Very Remote Australia,Far West and Orana,Brewarrina,Sub-arterial Road
NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road
WA,Major Cities of Australia,Mandurah,Mandurah,Arterial Road
NSW,Remote Australia,Central West,Lachlan,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Collector Road
NSW,Outer Regional Australia,Murray,Murrumbidgee,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Albany,Arterial Road
VIC,Outer Regional Australia,Shepparton,Moira,Local Road
NSW,Inner Regional Australia,New England and North West,Tamworth,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Berri Barmera,National or State Highway
NSW,Remote Australia,New England and North West,Moree Plains,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner,Stonnington,Local Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Sydney,Arterial Road
NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,National or State Highway
VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,Local Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Collector Road
QLD,Outer Regional Australia,Central Queensland,Gladstone,Access road
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Access road
VIC,Inner Regional Australia,Geelong,Greater Geelong,Local Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,National or State Highway
VIC,Outer Regional Australia,Hume,Mansfield,National or State Highway
WA,Inner Regional Australia,Bunbury,Waroona,Local Road
WA,Outer Regional Australia,Western Australia - Outback (South),Chapman Valley,Arterial Road
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Access road
SA,Remote Australia,South Australia - South East,Kingston (SA),Arterial Road
VIC,Major Cities of Australia,Melbourne - West,Melton,Collector Road
NSW,Remote Australia,Far West and Orana,Cobar,Sub-arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Goyder,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Cook,Access road
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Collector Road
VIC,Outer Regional Australia,North West,Horsham,Local Road
VIC,Inner Regional Australia,Ballarat,Pyrenees,Sub-arterial Road
TAS,Outer Regional Australia,Launceston and North East,Launceston,Arterial Road
NSW,Inner Regional Australia,Murray,Berrigan,Sub-arterial Road
VIC,Inner Regional Australia,Ballarat,Golden Plains,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,Local Road
NSW,Outer Regional Australia,Capital Region,Bega Valley,Access road
NT,Very Remote Australia,Northern Territory - Outback,East Arnhem,Arterial Road
WA,Inner Regional Australia,Mandurah,Mandurah,Local Road
TAS,Outer Regional Australia,Launceston and North East,Launceston,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Sub-arterial Road
QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,Local Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Collector Road
VIC,Major Cities of Australia,Melbourne - Inner South,Bayside (Vic.),National or State Highway
SA,Outer Regional Australia,South Australia - South East,Tatiara,National or State Highway
NSW,Inner Regional Australia,Central West,Orange,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West,Local Road
NSW,Major Cities of Australia,Capital Region,Yass Valley,Arterial Road
VIC,Outer Regional Australia,Bendigo,Loddon,Local Road
VIC,Major Cities of Australia,Melbourne - Inner,Stonnington,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Randwick,National or State Highway
WA,Inner Regional Australia,Western Australia - Wheat Belt,Toodyay,Local Road
NSW,Outer Regional Australia,Central West,Oberon,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Hawkesbury,Local Road
WA,Remote Australia,Western Australia - Outback (South),Greater Geraldton,Local Road
WA,Inner Regional Australia,Perth - South East,Kalamunda,Arterial Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Boddington,National or State Highway
QLD,Remote Australia,Darling Downs - Maranoa,Maranoa,Sub-arterial Road
VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Access road
QLD,Remote Australia,Queensland - Outback,Mareeba,Sub-arterial Road
SA,Inner Regional Australia,Adelaide - North,Light,Arterial Road
WA,Remote Australia,Western Australia - Outback (South),Northampton,National or State Highway
NSW,Outer Regional Australia,Riverina,Coolamon,National or State Highway
NSW,Inner Regional Australia,Capital Region,Upper Lachlan,Local Road
VIC,Outer Regional Australia,Latrobe - Gippsland,South Gippsland,Local Road
NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),Access road
WA,Very Remote Australia,Western Australia - Outback (North),East Pilbara,Arterial Road
NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Kondinin,National or State Highway
VIC,Major Cities of Australia,Melbourne - Outer East,Knox,Collector Road
WA,Very Remote Australia,Western Australia - Outback (South),Carnarvon,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Canada Bay,National or State Highway
WA,Remote Australia,Western Australia - Outback (South),Carnamah,National or State Highway
TAS,Outer Regional Australia,West and North West,Kentish,Arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Manningham,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Kellerberrin,National or State Highway
SA,Major Cities of Australia,Adelaide - West,West Torrens,Local Road
WA,Inner Regional Australia,Perth - North East,Kalamunda,Arterial Road
QLD,Very Remote Australia,Darling Downs - Maranoa,Balonne,Local Road
